criteria_mode,spec,qid,replicate,question,p
paired,nested_threshold,lower,51,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,51,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.04
omitted,nested_threshold,lower,29,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
omitted,nested_threshold,higher,29,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
paired,joint_bounds,one,46,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.22
paired,joint_bounds,ten,46,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,46,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
empty,partition,above,34,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
empty,partition,not_above,34,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.71
omitted,nested_time,short,22,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.04
omitted,nested_time,long,22,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,partition,above,93,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.25
paired,partition,not_above,93,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
empty,complement,yes,40,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,complement,no,40,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
omitted,complement,yes,67,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,complement,no,67,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.91
paired,nested_threshold,lower,84,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
paired,nested_threshold,higher,84,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,partition,above,53,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
empty,partition,not_above,53,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.71
paired,joint_bounds,one,7,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.18
paired,joint_bounds,ten,7,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,7,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
empty,partition,above,14,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.19
empty,partition,not_above,14,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.71
paired,nested_threshold,lower,39,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,39,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,nested_time,short,95,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,95,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,partition,above,75,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
empty,partition,not_above,75,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.71
paired,complement,yes,72,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.19
paired,complement,no,72,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.78
omitted,joint_bounds,one,2,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,joint_bounds,ten,2,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.02
omitted,joint_bounds,both,2,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.04
paired,complement,yes,77,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.19
paired,complement,no,77,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.76
empty,joint_bounds,one,17,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,joint_bounds,ten,17,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,17,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
empty,complement,yes,99,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,complement,no,99,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.84
omitted,joint_bounds,one,73,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,joint_bounds,ten,73,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,73,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
omitted,complement,yes,21,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,complement,no,21,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.92
paired,partition,above,19,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
paired,partition,not_above,19,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
paired,partition,above,70,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.23
paired,partition,not_above,70,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
empty,nested_time,short,35,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
empty,nested_time,long,35,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_time,short,7,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,7,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
empty,complement,yes,49,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,no,49,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
omitted,joint_bounds,one,57,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,joint_bounds,ten,57,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,57,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
empty,nested_time,short,50,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,50,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,partition,above,9,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
omitted,partition,not_above,9,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
paired,joint_bounds,one,33,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,joint_bounds,ten,33,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,33,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
empty,joint_bounds,one,86,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,86,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
empty,joint_bounds,both,86,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
paired,nested_threshold,lower,32,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,32,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
omitted,partition,above,85,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.22
omitted,partition,not_above,85,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.76
empty,nested_threshold,lower,59,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,nested_threshold,higher,59,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,joint_bounds,one,20,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.22
paired,joint_bounds,ten,20,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,20,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
paired,nested_time,short,87,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
paired,nested_time,long,87,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.14
empty,nested_time,short,87,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.08
empty,nested_time,long,87,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,partition,above,7,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
paired,partition,not_above,7,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
omitted,complement,yes,18,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,complement,no,18,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.91
omitted,joint_bounds,one,13,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
omitted,joint_bounds,ten,13,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,13,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,one,2,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,joint_bounds,ten,2,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,2,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
paired,joint_bounds,one,66,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.22
paired,joint_bounds,ten,66,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.05
paired,joint_bounds,both,66,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.08
omitted,nested_threshold,lower,61,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,higher,61,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
empty,joint_bounds,one,92,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,92,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
empty,joint_bounds,both,92,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
empty,partition,above,4,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.18
empty,partition,not_above,4,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.7
empty,joint_bounds,one,30,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,30,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,30,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
paired,partition,above,92,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.23
paired,partition,not_above,92,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.76
paired,partition,above,62,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.23
paired,partition,not_above,62,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
empty,complement,yes,85,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,no,85,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.82
empty,partition,above,28,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.18
empty,partition,not_above,28,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
paired,joint_bounds,one,58,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.24
paired,joint_bounds,ten,58,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
paired,joint_bounds,both,58,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.07
omitted,nested_time,short,75,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,75,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,complement,yes,16,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,complement,no,16,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.92
empty,nested_time,short,68,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,68,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,complement,yes,89,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,complement,no,89,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.92
omitted,joint_bounds,one,97,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,joint_bounds,ten,97,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,97,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.05
empty,nested_time,short,27,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
empty,nested_time,long,27,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,yes,17,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,complement,no,17,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.83
paired,partition,above,97,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.23
paired,partition,not_above,97,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
empty,complement,yes,5,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,complement,no,5,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.79
omitted,nested_threshold,lower,66,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
omitted,nested_threshold,higher,66,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
omitted,partition,above,70,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
omitted,partition,not_above,70,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.78
empty,complement,yes,70,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,complement,no,70,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.81
paired,nested_threshold,lower,14,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,14,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,joint_bounds,one,81,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,81,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.04
empty,joint_bounds,both,81,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
paired,nested_threshold,lower,9,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
paired,nested_threshold,higher,9,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.04
omitted,joint_bounds,one,50,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,joint_bounds,ten,50,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
omitted,joint_bounds,both,50,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.03
omitted,partition,above,82,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
omitted,partition,not_above,82,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.77
paired,complement,yes,1,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.22
paired,complement,no,1,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.77
paired,nested_threshold,lower,33,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,nested_threshold,higher,33,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,complement,yes,62,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,complement,no,62,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.84
empty,partition,above,41,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.18
empty,partition,not_above,41,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.73
empty,nested_time,short,93,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
empty,nested_time,long,93,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,nested_threshold,lower,32,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
omitted,nested_threshold,higher,32,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
omitted,nested_time,short,67,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
omitted,nested_time,long,67,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,joint_bounds,one,46,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,46,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,46,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
omitted,complement,yes,6,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
omitted,complement,no,6,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.93
omitted,nested_time,short,95,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,95,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.08
paired,nested_threshold,lower,75,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,nested_threshold,higher,75,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
paired,partition,above,5,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.24
paired,partition,not_above,5,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.74
empty,joint_bounds,one,6,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
empty,joint_bounds,ten,6,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,6,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
paired,complement,yes,12,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.21
paired,complement,no,12,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.77
paired,complement,yes,8,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.19
paired,complement,no,8,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.77
paired,complement,yes,11,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.18
paired,complement,no,11,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.79
empty,partition,above,56,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.2
empty,partition,not_above,56,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.72
paired,nested_threshold,lower,34,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.14
paired,nested_threshold,higher,34,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,nested_threshold,lower,51,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,nested_threshold,higher,51,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
empty,complement,yes,25,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,complement,no,25,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.82
paired,nested_time,short,92,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
paired,nested_time,long,92,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.13
omitted,nested_time,short,24,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,24,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
empty,joint_bounds,one,63,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,joint_bounds,ten,63,"Will Bitcoin reach $10,000,000 by December 31, 2035?",0.03
empty,joint_bounds,both,63,"Will Bitcoin reach both $1,000,000 and $10,000,000 by December 31, 2035?",0.06
omitted,nested_time,short,88,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.05
omitted,nested_time,long,88,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,partition,above,6,"Will Bitcoin's USD daily closing price on December 31, 2035 be above $1,000,000?",0.21
empty,partition,not_above,6,"Will Bitcoin's USD daily closing price on December 31, 2035 be at or below $1,000,000?",0.71
paired,nested_threshold,lower,63,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
paired,nested_threshold,higher,63,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.03
omitted,nested_threshold,lower,19,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,nested_threshold,higher,19,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
omitted,nested_threshold,lower,11,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.09
omitted,nested_threshold,higher,11,"Will Bitcoin reach $100,000,000 by December 31, 2035?",0.02
empty,nested_time,short,7,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.07
empty,nested_time,long,7,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.11
paired,nested_time,short,72,"Will Bitcoin reach $1,000,000 by December 31, 2030?",0.06
paired,nested_time,long,72,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.12
empty,complement,yes,27,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
empty,complement,no,27,"Will Bitcoin fail to reach $1,000,000 by December 31, 2035?",0.8
omitted,complement,yes,64,"Will Bitcoin reach $1,000,000 by December 31, 2035?",0.1
